Name,Target Name,Object Name,Type,Object Type,Inst Num,Value,Export Ord,Export,Fault Cause,Description,BACnet Writable
analogValue_15,C$2drate,PMA_C_RATE_prog,Bacnet Analog Value Descriptor,Analog Value,15,"50,0 % {ok} @ 10",h:60a0,{ok},,,no
analogValue_120,EngyPosSum,BcpLonNetwork.Syst13_E2.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,120,"0,0 kW-hr {ok}",h:c36d,{ok},,,no
analogValue_121,PowerFactorAvg,BcpLonNetwork.Syst13_E2.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,121,"1,00 {ok}",h:c36f,{ok},,,no
analogValue_122,PowerSum,BcpLonNetwork.Syst13_E2.PowerSum,Bacnet Analog Value Descriptor,Analog Value,122,"0,00 W {ok}",h:c371,{ok},,,no
analogValue_130,EngyPosSum,BcpLonNetwork.L230_SE2_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,130,"141,9 kW-hr {ok}",h:93c5,{ok},,,no
analogValue_131,PowerSum,BcpLonNetwork.L230_SE2_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,131,"0,00 W {ok}",h:93c7,{ok},,,no
analogValue_132,PowerFactorAvg,BcpLonNetwork.L230_SE2_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,132,"1,00 {ok}",h:93c9,{ok},,,no
analogValue_140,EngyPosSum,BcpLonNetwork.S4E2_L120_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,140,"6410,0 kW-hr {ok}",h:93cb,{ok},,,no
analogValue_141,PowerSum,BcpLonNetwork.S4E2_L120_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,141,"261,33 W {ok}",h:93cd,{ok},,,no
analogValue_142,PowerFactorAvg,BcpLonNetwork.S4E2_L120_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,142,"0,88 {ok}",h:93cf,{ok},,,no
analogValue_150,EngyPosSum,BcpLonNetwork.S14E_L134_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,150,"30206,4 kW-hr {ok}",h:93d1,{ok},,,no
analogValue_151,PowerSum,BcpLonNetwork.S14E_L134_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,151," -0,60 W {ok}",h:93d3,{ok},,,no
analogValue_152,PowerFactorAvg,BcpLonNetwork.S14E_L134_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,152,"0,66 {ok}",h:93d5,{ok},,,no
analogValue_160,EngyPosSum,BcpLonNetwork.S12E1_L138_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,160,"2427,2 kW-hr {ok}",h:93d7,{ok},,,no
analogValue_161,PowerSum,BcpLonNetwork.S12E1_L138_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,161,"129,98 W {ok}",h:93d9,{ok},,,no
analogValue_162,PowerFactorAvg,BcpLonNetwork.S12E1_L138_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,162,"0,94 {ok}",h:93db,{ok},,,no
analogValue_170,EngyPosSum,BcpLonNetwork.L111_119_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,170,"60974,8 kW-hr {ok}",h:93dd,{ok},,,no
analogValue_171,PowerSum,BcpLonNetwork.L111_119_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,171,"0,00 W {ok}",h:93df,{ok},,,no
analogValue_172,PowerFactorAvg,BcpLonNetwork.L111_119_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,172,"1,00 {ok}",h:93e1,{ok},,,no
analogValue_180,EngyPosSum,BcpLonNetwork.L120_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,180,"169894,0 kW-hr {ok}",h:93e3,{ok},,,no
analogValue_181,PowerSum,BcpLonNetwork.L120_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,181,"6857,98 W {ok}",h:93e5,{ok},,,no
analogValue_182,PowerFactorAvg,BcpLonNetwork.L120_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,182,"1,00 {ok}",h:93e7,{ok},,,no
analogValue_190,EngyPosSum,BcpLonNetwork.L128_SE10_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,190,"86439,0 kW-hr {ok}",h:93e9,{ok},,,no
analogValue_191,PowerSum,BcpLonNetwork.L128_SE10_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,191,"8374,11 W {ok}",h:93eb,{ok},,,no
analogValue_192,PowerFactorAvg,BcpLonNetwork.L128_SE10_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,192,"1,00 {ok}",h:93ed,{ok},,,no
analogValue_200,EngyPosSum,BcpLonNetwork.L112A_113_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,200,"30651,0 kW-hr {ok}",h:93ef,{ok},,,no
analogValue_201,PowerSum,BcpLonNetwork.L112A_113_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,201,"2545,39 W {ok}",h:93f1,{ok},,,no
analogValue_202,PowerFactorAvg,BcpLonNetwork.L112A_113_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,202,"1,00 {ok}",h:93f3,{ok},,,no
analogValue_210,EngyPosSum,BcpLonNetwork.L136_NI.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,210,"36830,3 kW-hr {ok}",h:93f5,{ok},,,no
analogValue_211,PowerSum,BcpLonNetwork.L136_NI.PowerSum,Bacnet Analog Value Descriptor,Analog Value,211,"603,43 W {ok}",h:93f7,{ok},,,no
analogValue_212,PowerFactorAvg,BcpLonNetwork.L136_NI.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,212,"1,00 {ok}",h:93f9,{ok},,,no
analogValue_220,EngyPosSum,BcpLonNetwork.L101_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,220,"32263,9 kW-hr {ok}",h:93fb,{ok},,,no
analogValue_221,PowerSum,BcpLonNetwork.L101_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,221,"0,00 W {ok}",h:93fd,{ok},,,no
analogValue_222,PowerFactorAvg,BcpLonNetwork.L101_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,222,"1,00 {ok}",h:93ff,{ok},,,no
analogValue_230,EngyPosSum,BcpLonNetwork.L107_L109_ESCPRINC_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,230,"113007,8 kW-hr {ok}",h:9401,{ok},,,no
analogValue_231,PowerSum,BcpLonNetwork.L107_L109_ESCPRINC_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,231,"1048,52 W {ok}",h:9403,{ok},,,no
analogInput_232,PowerFactorAvg,BcpLonNetwork.L107_L109_ESCPRINC_CP.PowerFactorAvg,Bacnet Analog Input Descriptor,Analog Input,232,"1,00 {ok}",h:9405,{ok},,,no
analogValue_240,EngyPosSum,BcpLonNetwork.L113_ECS3_CP_L112A_113_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,240,"12418,1 kW-hr {ok}",h:9407,{ok},,,no
analogValue_241,PowerSum,BcpLonNetwork.L113_ECS3_CP_L112A_113_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,241,"11,74 W {ok}",h:9409,{ok},,,no
analogValue_242,PowerFactorAvg,BcpLonNetwork.L113_ECS3_CP_L112A_113_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,242,"1,00 {ok}",h:940b,{ok},,,no
analogValue_250,EngyPosSum,BcpLonNetwork.L110B_SE11_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,250,"1577,7 kW-hr {ok}",h:940d,{ok},,,no
analogValue_251,PowerSum,BcpLonNetwork.L110B_SE11_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,251,"8,70 W {ok}",h:940f,{ok},,,no
analogValue_252,PowerFactorAvg,BcpLonNetwork.L110B_SE11_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,252,"0,29 {ok}",h:9411,{ok},,,no
analogValue_260,EngyPosSum,BcpLonNetwork.L121_132_AER_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,260,"61312,7 kW-hr {ok}",h:9413,{ok},,,no
analogValue_261,PowerSum,BcpLonNetwork.L121_132_AER_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,261,"0,00 W {ok}",h:9415,{ok},,,no
analogValue_262,PowerFactorAvg,BcpLonNetwork.L121_132_AER_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,262,"0,00 {ok}",h:9417,{ok},,,no
analogValue_270,EngyPosSum,BcpLonNetwork.L125_126_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,270,"169252,4 kW-hr {ok}",h:9419,{ok},,,no
analogValue_271,PowerSum,BcpLonNetwork.L125_126_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,271,"5923,30 W {ok}",h:941b,{ok},,,no
analogValue_272,PowerFactorAvg,BcpLonNetwork.L125_126_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,272,"1,00 {ok}",h:941d,{ok},,,no
analogValue_280,EngyPosSum,BcpLonNetwork.L132A_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,280,"59718,4 kW-hr {ok}",h:941f,{ok},,,no
analogValue_281,PowerSum,BcpLonNetwork.L132A_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,281,"2332,53 W {ok}",h:9421,{ok},,,no
analogValue_282,PowerFactorAvg,BcpLonNetwork.L132A_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,282,"1,00 {ok}",h:9423,{ok},,,no
analogValue_290,EngyPosSum,BcpLonNetwork.L105_108B_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,290,"35170,3 kW-hr {ok}",h:9425,{ok},,,no
analogValue_291,PowerSum,BcpLonNetwork.L105_108B_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,291,"360,19 W {ok}",h:9427,{ok},,,no
analogValue_292,PowerFactorAvg,BcpLonNetwork.L105_108B_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,292,"1,00 {ok}",h:9429,{ok},,,no
analogValue_300,EngyPosSum,BcpLonNetwork.L118B_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,300,"40182,5 kW-hr {ok}",h:942b,{ok},,,no
analogValue_301,PowerSum,BcpLonNetwork.L118B_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,301,"0,00 W {ok}",h:942d,{ok},,,no
analogValue_302,PowerFactorAvg,BcpLonNetwork.L118B_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,302,"1,00 {ok}",h:942f,{ok},,,no
analogValue_310,EngyPosSum,BcpLonNetwork.L102_103_ESC2_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,310,"56108,0 kW-hr {ok}",h:9431,{ok},,,no
analogValue_311,PowerSum,BcpLonNetwork.L102_103_ESC2_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,311,"1838,20 W {ok}",h:9433,{ok},,,no
analogValue_312,PowerFactorAvg,BcpLonNetwork.L102_103_ESC2_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,312,"1,00 {ok}",h:9435,{ok},,,no
analogValue_320,EngyPosSum,BcpLonNetwork.L116_117B_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,320,"14244,3 kW-hr {ok}",h:9437,{ok},,,no
analogValue_321,PowerSum,BcpLonNetwork.L116_117B_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,321,"0,00 W {ok}",h:9439,{ok},,,no
analogValue_322,PowerFactorAvg,BcpLonNetwork.L116_117B_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,322,"1,00 {ok}",h:943b,{ok},,,no
analogValue_330,EngyPosSum,BcpLonNetwork.L108A_108D_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,330,"17642,1 kW-hr {ok}",h:943d,{ok},,,no
analogValue_331,PowerSum,BcpLonNetwork.L108A_108D_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,331,"88,54 W {ok}",h:943f,{ok},,,no
