"Référence de l'objet";Alarme;Manuel;Vérifié;Nom;Valeur;Statut;Description;BACnet_IP_Global_Address;Max_Pres_Value;Number_Of_Authentication_Policies
"//04-LTE Shawinigan/1000.BO59";;;;"A/D POMPE P-1 - REF.";inactive;;;;;
"//04-LTE Shawinigan/1000.BO60";;;;"A/D POMPE P-2 - REF.";inactive;;;;;
"//04-LTE Shawinigan/1000.BV11";;;;"PERMISSION CHAUFFAGE";active;;;;;
"//04-LTE Shawinigan/1000.BV12";;;;PERTE_ALIM;inactive;;;;;
"//04-LTE Shawinigan/1000.BV131";;;;"OPT. HIVER No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV132";;;;"OPT. ETE No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV133";;;;"RED. BASSE TP. No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV134";;;;"RED. HAUTE TP. No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV135";;;;"BASSE LIM. GEL No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV137";;;;"FREECOOLING No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV140";;;;"ETAT DIGITAL ALIM 3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV144";;;;"PERM. REF. No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV156";;;;"OVERIDE No.3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BV158";;;;"PERM. THERMO. 3A";active;;;;;
"//04-LTE Shawinigan/1000.BV161";;;;"PERMISSION RECUP. 3A";active;;;;;
"//04-LTE Shawinigan/1000.BV17";;;;"A/D VENT. THERMO 3A";active;;;;;
"//04-LTE Shawinigan/1000.BV18";;;;"ETAPE 1 THERMO 3A";active;;;;;
"//04-LTE Shawinigan/1000.BV19";;;;"ETAPE 2 THERMO 3A";active;;;;;
"//04-LTE Shawinigan/1000.BV22";;;;"VARIABLE DEMGAZ.4";inactive;;;;;
"//04-LTE Shawinigan/1000.BV222";;;;"ETAT DIG. V.A. No.3A";active;;;;;
"//04-LTE Shawinigan/1000.BV223";;;;"ETAT DIG. V.R. No.3R";inactive;;;;;
"//04-LTE Shawinigan/1000.BV231";;;;"OVERRIDE 3E1";inactive;;;;;
"//04-LTE Shawinigan/1000.BV234";;;;"OVERRIDE 3E2";inactive;;;;;
"//04-LTE Shawinigan/1000.BV237";;;;"OVERRIDE 3E3";inactive;;;;;
"//04-LTE Shawinigan/1000.BV240";;;;"OVERRIDE 3E4";inactive;;;;;
"//04-LTE Shawinigan/1000.BV243";;;;"OVERRIDE 3E6";inactive;;;;;
"//04-LTE Shawinigan/1000.BV246";;;;"OVERRIDE 3E8";inactive;;;;;
"//04-LTE Shawinigan/1000.BV248";;;;"STATUS DIG. 3E4";inactive;;;;;
"//04-LTE Shawinigan/1000.BV249";;;;"STATUS DIG. 3E6";active;;;;;
"//04-LTE Shawinigan/1000.BV250";;;;"STATUS DIG. 3E8";inactive;;;;;
"//04-LTE Shawinigan/1000.BV27";;;;"VARIABLE ALARME 120";inactive;;;;;
"//04-LTE Shawinigan/1000.BV31";;;;"VARIABLE OVR.23";inactive;;;;;
"//04-LTE Shawinigan/1000.BV34";;;;"VARIABLE AE.A204";inactive;;;;;
"//04-LTE Shawinigan/1000.BV4";;;;"PERMISSION HUM.";active;;;;;
"//04-LTE Shawinigan/1000.BV43";;;;"MODE GESTION GDP";inactive;;;;;
"//04-LTE Shawinigan/1000.BV58";;;;B_M37_U3_S3A_Z110A1;inactive;;;;;
"//04-LTE Shawinigan/1000.BV59";;;;B_M37_U3_S3A_Z110A2;inactive;;;;;
"//04-LTE Shawinigan/1000.BV60";;;;B_M37_U3_S3A_Z110C;inactive;;;;;
"//04-LTE Shawinigan/1000.BV61";;;;"STATUS DIG. PMP PG1";active;;;;;
"//04-LTE Shawinigan/1000.BV62";;;;B_M37_U3_S3A_Z110F;inactive;;;;;
"//04-LTE Shawinigan/1000.BV63";;;;B_M37_U3_S3A_Z110B;inactive;;;;;
"//04-LTE Shawinigan/1000.BV7";;;;ECL.EXT/LEVER/COUCHE;inactive;;;;;
"//04-LTE Shawinigan/1000.BV72";;;;B_M37_U3_S3A_Z128;inactive;;;;;
"//04-LTE Shawinigan/1000.BV73";;;;B_M37_U3_S3A_Z128A;inactive;;;;;
"//04-LTE Shawinigan/1000.BV76";;;;B_M37_U3_S3A_Z206A;inactive;;;;;
"//04-LTE Shawinigan/1000.BV77";;;;B_M37_U3_S3A_Z206B;inactive;;;;;
"//04-LTE Shawinigan/1000.BV78";;;;B_M37_U3_S3A_Z206C;inactive;;;;;
"//04-LTE Shawinigan/1000.BV79";;;;B_M37_U3_S3A_Z206D;inactive;;;;;
"//04-LTE Shawinigan/1000.BV80";;;;B_M37_U3_S3A_Z206E;inactive;;;;;
"//04-LTE Shawinigan/1000.BV81";;;;B_M37_U3_S3A_Z226A;inactive;;;;;
"//04-LTE Shawinigan/1000.BV84";;;;B_M37_U3_S3A_Z226B;inactive;;;;;
"//04-LTE Shawinigan/1000.CAL1";;;;"JOURNEES FERIEES";Arrêt;;;;;
"//04-LTE Shawinigan/1000.CAL2";;;;GDP;Arrêt;;;;;
"//04-LTE Shawinigan/1000.DEV1000";;;;"LTE MACGLOBAL";Opérationnel;;;;;
"//04-LTE Shawinigan/1000.EVC1";;;;General;;;;;;
"//04-LTE Shawinigan/1000.EVC64";;;;Trend;;;;;;
"//04-LTE Shawinigan/1000.SCH1";;;;"GDP backnet";Arrêt;;;;;
